Código;Distrito;Hombre;Mujer;Total ;Numero de Hogares;Saben Leer y Escribir;servicio de agua ;Personas Censadas
150101;Lima;   129 630;   138 722;   268 352;   78 665;   245 774;   72 970;   91 778
150102;Ancón;   33 578;   29 350;   62 928;   17 454;   54 544;   7 031;   26 996
150103;Ate;   293 019;   306 177;   599 196;   164 985;   527 196;   129 004;   178 930
150104;Barranco;   15 949;   18 429;   34 378;   11 477;   32 050;   10 851;   13 564
150105;Breña;   40 081;   45 228;   85 309;   25 494;   78 747;   24 173;   29 818
150106;Carabayllo;   163 786;   169 259;   333 045;   86 847;   289 801;   57 786;   102 596
150107;Chaclacayo;   20 655;   22 257;   42 912;   11 233;   38 537;   8 681;   11 784
150108;Chorrillos;   152 926;   161 315;   314 241;   82 969;   283 192;   67 668;   80 668
150109;Cieneguilla;   17 232;   17 452;   34 684;   9 623;   29 740;   3 455;   13 251
150110;Comas;   254 512;   265 938;   520 450;   132 726;   464 369;   104 520;   134 142
150111;El Agustino;   97 512;   101 350;   198 862;   51 766;   175 707;   45 141;   52 299
150112;Independencia;   103 694;   107 666;   211 360;   54 293;   188 080;   42 230;   53 639
150113;Jesús María;   33 692;   41 667;   75 359;   23 794;   70 725;   22 953;   28 858
150114;La Molina;   65 682;   74 997;   140 679;   40 245;   131 405;   36 889;   44 918
150115;La Victoria;   85 108;   88 522;   173 630;   51 132;   157 486;   47 637;   61 094
150116;Lince;   25 085;   29 626;   54 711;   18 193;   51 174;   17 463;   21 946
150117;Los Olivos;   156 847;   169 037;   325 884;   89 749;   295 320;   81 431;   90 348
150118;Lurigancho;   118 926;   121 888;   240 814;   66 221;   209 004;   24 716;   88 196
150119;Lurin;   44 735;   44 460;   89 195;   23 865;   77 434;   12 703;   28 139
150120;Magdalena del Mar;   27 462;   32 828;   60 290;   19 239;   56 083;   18 504;   22 191
150121;Pueblo Libre;   37 628;   45 695;   83 323;   26 407;   78 204;   25 188;   30 356
150122;Miraflores;   45 152;   54 185;   99 337;   37 626;   93 161;   36 845;   50 438
150123;Pachacamac;   54 262;   55 809;   110 071;   30 335;   94 155;   13 613;   40 372
150124;Pucusana;   7 501;   7 390;   14 891;   4 377;   12 826;    822;   7 309
150125;Puente Piedra;   162 895;   166 780;   329 675;   87 287;   285 807;   59 491;   95 654
150126;Punta Hermosa;   8 159;   7 715;   15 874;   5 730;   13 867;   1 189;   9 347
150127;Punta Negra;   3 554;   3 520;   7 074;   2 032;   6 203;   1 063;   3 791
150128;Rímac;   85 138;   89 647;   174 785;   48 540;   157 781;   42 304;   53 440
150129;San Bartolo;   3 728;   3 754;   7 482;   2 148;   6 649;   1 134;   3 760
150130;San Borja;   51 704;   61 543;   113 247;   34 940;   106 075;   33 305;   40 356
150131;San Isidro;   26 906;   33 829;   60 735;   21 073;   57 244;   20 564;   27 626
150132;San Juan de Lurigancho;   518 537;   519 958;  1 038 495;   274 168;   916 085;   161 115;   314 581
150133;San Juan de Miraflores;   173 683;   181 536;   355 219;   89 347;   318 226;   70 213;   87 856
150134;San Luis;   25 081;   27 001;   52 082;   14 619;   48 093;   13 486;   15 095
150135;San Martín de Porres;   317 786;   336 297;   654 083;   176 653;   590 512;   155 675;   179 534
150136;San Miguel;   72 499;   82 885;   155 384;   46 210;   143 628;   43 537;   52 751
150137;Santa Anita;   96 080;   100 134;   196 214;   55 636;   174 891;   50 481;   56 622
150138;Santa María del Mar;    513;    486;    999;    300;    881;    101;   1 334
150139;Santa Rosa;   13 840;   14 023;   27 863;   8 649;   23 668;   2 877;   14 389
150140;Santiago de Surco;   152 312;   176 840;   329 152;   100 585;   306 154;   96 171;   117 669
150141;Surquillo;   42 439;   48 584;   91 023;   29 262;   84 422;   27 643;   34 337
150142;Villa el Salvador;   193 833;   199 421;   393 254;   94 779;   348 269;   75 833;   93 039
150143;Villa María del Triunfo;   195 222;   203 211;   398 433;   103 277;   351 742;   73 089;   108 355
